Year	Month	Period	TP	pTP	TN	pTN	WTMP	pWTMP	HRQ	HRV	pHRV	HRWL	HRWLcv	pHRWL	pHRWLcv	YRQ	YRV	pYRV	YRWL	YRWLcv	pYRWL	pYRWLcv	Chla	Algae
2003	4	1	0.17	0.15	2.12	2.1	19.3	19	714	0.73	0.7	19.963	0.0206	19.5273	0.0221	17300	0.94	0.9	17.12	0.0215	17.6709	0.0277	28	1.7
2003	4	2	0.09	0.17	1.9	2.12	16.63	19.3	648	0.69	0.73	20.114	0.0036	19.963	0.0206	17300	0.94	0.94	18.21	0.0244	17.151	0.0215	1.4	0.11
2003	4	3	0.18	0.09	1.84	1.9	18.4	16.63	758	0.74	0.69	20.533	0.0254	20.114	0.0036	17300	0.94	0.94	18.93	0.0137	18.191	0.0244	2.8	0.12
2004	2	1	0.11	0.1	2.02	1.9	7	6	1099	0.99	1	19.695	0.0039	19.7209	0.0065	7660	1	1	13.59	0.0078	14.3182	0.0174	1.9	0.0235
2004	2	2	0.1	0.11	2.03	2.02	12.53	7	1103	0.99	0.99	19.725	0.002	19.695	0.0039	7660	1	1	13.9	0.0025	13.688	0.0078	6.3	0.05
2004	2	3	0.13	0.1	1.85	2.03	12.47	12.53	1183	1.03	0.99	19.8322	0.0028	19.725	0.002	7660	1	1	13.65	0.0078	13.887	0.0025	25.1	0.236
2004	3	1	0.12	0.13	2.02	1.85	13.13	12.47	1346	1.12	1.03	20.093	0.0116	19.8322	0.0028	10600	0.83	1	15.27	0.0561	13.68	0.0078	12.7	0.053
2004	3	2	0.3	0.12	2.55	2.02	13.77	13.13	1302	1.1	1.12	20.252	0.0051	20.093	0.0116	10600	0.83	0.83	15.82	0.0278	15.245	0.0561	35.1	0.66
2004	3	3	0.09	0.3	1.76	2.55	11.57	13.77	1103	0.97	1.1	20.08	0.0056	20.252	0.0051	10600	0.83	0.83	15.29	0.0464	15.651	0.0278	5.3	0.08
2004	4	1	0.06	0.09	1.74	1.76	16	11.57	993	0.9	0.97	20.197	0.0022	20.08	0.0056	12600	1.1	0.83	16.32	0.0146	15.6564	0.0464	5.1	0.025
2004	4	2	0.08	0.06	1.81	1.74	18.47	16	982	0.88	0.9	20.375	0.0065	20.197	0.0022	12600	1.1	1.1	16.69	0.0165	16.225	0.0146	5.7	0.13
2004	4	3	0.06	0.08	1.84	1.81	25	18.47	980	0.88	0.88	20.454	0.005	20.375	0.0065	12600	1.1	1.1	16.88	0.0105	16.711	0.0165	5.1	0.13
2005	2	1	0.11	0.09	1.76	1.6	7.37	6.9	936	0.93	0.85	19.731	0.0034	19.77	0.0046	12000	0.88	0.85	15.59	0.0181	15.1309	0.0205	1.4	0.025
2005	2	2	0.12	0.11	1.72	1.76	4.43	7.37	816	0.83	0.93	19.855	0.0186	19.731	0.0034	12000	0.88	0.88	15.31	0.0816	15.448	0.0181	1.4	0.029
2005	2	3	0.1	0.12	2.51	1.72	5.83	4.43	775	0.77	0.83	20.3963	0.0121	19.855	0.0186	12000	0.88	0.88	18.3	0.0163	16.185	0.0816	1.6	0.028
2005	3	1	0.13	0.1	1.92	2.51	8.77	5.83	771	0.77	0.77	19.91	0.0033	20.3963	0.0121	14900	0.91	0.88	17.17	0.0234	18.3663	0.0163	1.3	0.02
2005	3	2	0.11	0.13	1.85	1.92	13.27	8.77	796	0.78	0.77	19.904	0.0044	19.91	0.0033	14900	0.91	0.91	16.34	0.004	17.134	0.0234	8.4	0.82
2005	3	3	0.09	0.11	1.78	1.85	10.8	13.27	926	0.88	0.78	20.0991	0.0048	19.904	0.0044	14900	0.91	0.91	16.5	0.0023	16.408	0.004	2.4	0.14
2005	4	1	0.08	0.09	2.02	1.78	14.1	10.8	807	0.8	0.88	19.948	0.0025	20.0991	0.0048	16000	0.97	0.91	17.13	0.0102	16.5073	0.0023	3.8	0.11
2005	4	2	0.08	0.08	1.74	2.02	16.83	14.1	865	0.83	0.8	20.144	0.0051	19.948	0.0025	16000	0.97	0.97	17.44	0.0164	16.96	0.0102	1.3	0.029
2005	4	3	0.07	0.08	1.84	1.74	19.73	16.83	750	0.76	0.83	19.779	0.0052	20.144	0.0051	16000	0.97	0.97	16.85	0.0066	17.257	0.0164	0.8	0.01
2006	2	1	0.1	0.11	1.96	1.8	4.8	4	970	1.12	1.19	19.557	0.0032	19.7364	0.0052	8200	0.81	0.8	13.51	0.0218	15.1764	0.0137	1.8	0.0418
2006	2	2	0.1	0.1	1.86	1.96	8.4	4.8	1085	0.95	1.12	19.641	0.0033	19.557	0.0032	8200	0.81	0.81	14.13	0.0178	14.222	0.0218	2.5	0.0732
2006	2	3	0.1	0.1	1.84	1.86	8.6	8.4	987	0.89	0.95	19.7188	0.0065	19.641	0.0033	8200	0.81	0.81	14.16	0.0285	14.157	0.0178	2.6	0.12
2006	3	1	0.12	0.1	1.7	1.84	8.73	8.6	1026	0.83	0.89	20.395	0.0075	19.7188	0.0065	18200	0.98	0.81	15.93	0.0216	15.4975	0.0285	9	0.44
2006	3	2	0.1	0.12	1.83	1.7	11.87	8.73	972	0.8	0.83	20.354	0.0024	20.395	0.0075	18200	0.98	0.98	19.17	0.0133	17.481	0.0216	27	0.49
2006	3	3	0.09	0.1	1.78	1.83	13.8	11.87	937	0.83	0.8	20.29	0.0023	20.354	0.0024	18200	0.98	0.98	18.45	0.0139	17.462	0.0133	19.7	0.32
2006	4	1	0.09	0.09	1.62	1.78	18.4	13.8	960	0.85	0.83	20.14	0.0058	20.29	0.0023	13400	0.86	0.98	16.85	0.0081	17.4527	0.0139	27.1	0.42
2006	4	2	0.08	0.09	1.78	1.62	18.97	18.4	1133	0.89	0.85	21.054	0.0163	20.14	0.0058	13400	0.86	0.86	16.27	0.0598	16.559	0.0081	11.1	0.16
2006	4	3	0.08	0.08	2.04	1.78	18	18.97	1066	0.83	0.89	20.954	0.0046	21.054	0.0163	13400	0.86	0.86	16.73	0.0169	18.292	0.0598	11.6	0.135
2007	2	1	0.14	0.15	1.85	1.8	10.5	9.5	493	0.69	0.7	18.452	0.0043	18.5555	0.0026	9310	1.13	1.1	14.15	0.0162	14.5482	0.0143	2.5	0.0707
2007	2	2	0.12	0.14	1.92	1.85	12.1	10.5	459	0.73	0.69	18.226	0.0033	18.452	0.0043	9310	1.13	1.13	13.9	0.0132	14.125	0.0162	2.8	0.076
2007	2	3	0.12	0.12	2.17	1.92	13.3	12.1	436	0.67	0.73	18.2188	0.0037	18.226	0.0033	9310	1.13	1.13	15.06	0.0162	13.985	0.0132	1.9	0.056
2007	3	1	0.15	0.12	2.14	2.17	12	13.3	626	0.76	0.67	19.499	0.0366	18.2188	0.0037	14200	1.26	1.13	16.26	0.0376	14.98	0.0162	1.7	0.062
2007	3	2	0.1	0.15	1.82	2.14	11.6	12	568	0.77	0.76	19.159	0.009	19.499	0.0366	14200	1.26	1.26	16.36	0.0209	16.359	0.0376	1.5	0.058
2007	3	3	0.12	0.1	1.84	1.82	11.4	11.6	599	0.74	0.77	19.1064	0.004	19.159	0.009	14200	1.26	1.26	16.16	0.0043	16.355	0.0209	3.4	0.28
2007	4	1	0.08	0.12	1.84	1.84	18.57	11.4	540	0.76	0.74	18.747	0.007	19.1064	0.004	12500	1.24	1.26	15.86	0.0191	16.1591	0.0043	2.6	0.063
